disease_digraph_id	property	value
524	appears_in	Hidalgo2009
525	appears_in	Hidalgo2009
526	appears_in	Hidalgo2009
528	appears_in	Hidalgo2009
529	appears_in	Hidalgo2009
531	appears_in	Hidalgo2009
532	appears_in	Hidalgo2009
534	appears_in	Hidalgo2009
535	appears_in	Hidalgo2009
538	appears_in	Hidalgo2009
539	appears_in	Hidalgo2009
540	appears_in	Hidalgo2009
545	appears_in	Hidalgo2009
546	appears_in	Hidalgo2009
547	appears_in	Hidalgo2009
548	appears_in	Hidalgo2009
549	appears_in	Hidalgo2009
550	appears_in	Hidalgo2009
554	appears_in	Hidalgo2009
555	appears_in	Hidalgo2009
556	appears_in	Hidalgo2009
557	appears_in	Hidalgo2009
558	appears_in	Hidalgo2009
562	appears_in	Hidalgo2009
565	appears_in	Hidalgo2009
566	appears_in	Hidalgo2009
574	appears_in	Hidalgo2009
575	appears_in	Hidalgo2009
576	appears_in	Hidalgo2009
584	appears_in	Hidalgo2009
585	appears_in	Hidalgo2009
592	appears_in	Hidalgo2009
593	appears_in	Hidalgo2009
619	appears_in	Hidalgo2009
621	appears_in	Hidalgo2009
623	appears_in	Hidalgo2009
625	appears_in	Hidalgo2009
629	appears_in	Hidalgo2009
630	appears_in	Hidalgo2009
631	appears_in	Hidalgo2009
632	appears_in	Hidalgo2009
633	appears_in	Hidalgo2009
634	appears_in	Hidalgo2009
637	appears_in	Hidalgo2009
640	appears_in	Hidalgo2009
644	appears_in	Hidalgo2009
647	appears_in	Hidalgo2009
648	appears_in	Hidalgo2009
649	appears_in	Hidalgo2009
651	appears_in	Hidalgo2009
652	appears_in	Hidalgo2009
654	appears_in	Hidalgo2009
657	appears_in	Hidalgo2009
661	appears_in	Hidalgo2009
663	appears_in	Hidalgo2009
665	appears_in	Hidalgo2009
666	appears_in	Hidalgo2009
667	appears_in	Hidalgo2009
668	appears_in	Hidalgo2009 Jensen2014
669	appears_in	Hidalgo2009
686	appears_in	Hidalgo2009
691	appears_in	Hidalgo2009
695	appears_in	Hidalgo2009
696	appears_in	Hidalgo2009
697	appears_in	Hidalgo2009
698	appears_in	Hidalgo2009
699	appears_in	Hidalgo2009
700	appears_in	Hidalgo2009
701	appears_in	Hidalgo2009
702	appears_in	Hidalgo2009
703	appears_in	Hidalgo2009
704	appears_in	Hidalgo2009
705	appears_in	Hidalgo2009
707	appears_in	Hidalgo2009
708	appears_in	Hidalgo2009
710	appears_in	Hidalgo2009
711	appears_in	Hidalgo2009
712	appears_in	Hidalgo2009
713	appears_in	Hidalgo2009
714	appears_in	Hidalgo2009
715	appears_in	Hidalgo2009
716	appears_in	Hidalgo2009
717	appears_in	Hidalgo2009
718	appears_in	Hidalgo2009
719	appears_in	Hidalgo2009
720	appears_in	Hidalgo2009
721	appears_in	Hidalgo2009
722	appears_in	Hidalgo2009
723	appears_in	Hidalgo2009
724	appears_in	Hidalgo2009
725	appears_in	Hidalgo2009
727	appears_in	Hidalgo2009
728	appears_in	Hidalgo2009
729	appears_in	Hidalgo2009
730	appears_in	Hidalgo2009
735	appears_in	Hidalgo2009
736	appears_in	Hidalgo2009
737	appears_in	Hidalgo2009
738	appears_in	Hidalgo2009
748	appears_in	Hidalgo2009
749	appears_in	Hidalgo2009
751	appears_in	Hidalgo2009
752	appears_in	Hidalgo2009
